"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\.vs\SEA\config\applicationhost.config", "XML", 0, 0, 0, 0, 0, 0, 903, 0, 0, 61, 53, 1017
"d:\servidores\xampp\htdocs\SEA\.vs\SEA\v17\DocumentLayout.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 41
"d:\servidores\xampp\htdocs\SEA\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\servidores\xampp\htdocs\SEA\.vs\phptasks.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\servidores\xampp\htdocs\SEA\.vs\slnx.sqlite", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 721, 0, 6, 727
"d:\servidores\xampp\htdocs\SEA\README.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 22, 67
"d:\servidores\xampp\htdocs\SEA\app\Actions\Fortify\CreateNewUser.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 36
"d:\servidores\xampp\htdocs\SEA\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"d:\servidores\xampp\htdocs\SEA\app\Actions\Fortify\ResetUserPassword.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 30
"d:\servidores\xampp\htdocs\SEA\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 33
"d:\servidores\xampp\htdocs\SEA\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 57
"d:\servidores\xampp\htdocs\SEA\app\Actions\Jetstream\DeleteUser.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"d:\servidores\xampp\htdocs\SEA\app\Http\Controllers\CondominioController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 67
"d:\servidores\xampp\htdocs\SEA\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\servidores\xampp\htdocs\SEA\app\Http\Controllers\DetalleNoAutorizadoController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 67
